Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","044","Bahamas","5511","Production","F2949","Eggs","2020","2020","1000 t","1","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","5511","Production","F2948","Milk - Excluding Butter","2020","2020","1000 t","3","E","Estimated value"
"FBS","Food Balances (2010-)","044","Bahamas","5511","Production","F2960","Fish, Seafood","2020","2020","1000 t","11.42","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","5511","Production","F2905","Cereals - Excluding Beer","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","5511","Production","F2907","Starchy Roots","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","5511","Production","F2909","Sugar & Sweeteners","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","5511","Production","F2911","Pulses","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","5511","Production","F2912","Treenuts","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","5511","Production","F2913","Oilcrops","2020","2020","1000 t","0","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","5511","Production","F2918","Vegetables","2020","2020","1000 t","19","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","5511","Production","F2919","Fruits - Excluding Wine","2020","2020","1000 t","19","E","Estimated value"
"FBS","Food Balances (2010-)","048","Bahrain","5511","Production","F2922","Stimulants","2020","2020","1000 t","0","E","Estimated value"
